"age_group","agi_class","outcome","estimate","p.raw","p.smooth"
6,4,"net_outflow_n1",219.918792752985,0.0444444444444444,0.0728587365127751
6,4,"net_outflow_agi",12881.1142207423,0.0444444444444444,0.0749228003713741
6,5,"pct_outflow_n1",0.00074125859354289,0.4,0.418667311674366
6,5,"net_outflow_n1",161.943011148815,0.0888888888888889,0.119023145451132
6,5,"net_outflow_agi",13145.105830052,0.111111111111111,0.13486637725171
6,6,"pct_outflow_n1",-0.00209104396737124,0.8,0.788310282222455
6,6,"net_outflow_n1",37.6802832339855,0.422222222222222,0.432653186306263
6,6,"net_outflow_agi",1112.79203541152,0.466666666666667,0.50776993946326
6,7,"pct_outflow_n1",-0.00288889369822524,0.711111111111111,0.711817798790865
6,7,"net_outflow_n1",-46.9145063221703,0.733333333333333,0.683951972538931
6,7,"net_outflow_agi",522523.83617405,0,6.86670860368001e-05
