"state","year","agi_class","age_group","total_n1","total_n2","nonmig_y1_agi","outflow_n1","outflow_n2","samest_y1_agi","net_outflow_n1","pct_outflow_n1","net_outflow_n2","pct_outflow_n2","outflow_agi","net_outflow_agi","total_agi","pct_outflow_agi"
"AZ",2016,6,"5",67660,150401,8741948,1244,2500,77535,-1355,0.0369494531480934,-2685,0.0166222299053863,172066,-189608,9173449,0.018756958260737
"AZ",2016,6,"6",69284,131344,8916405,1458,2566,78356,-1542,0.0370359679002367,-2977,0.019536484346449,193433,-210382,9407454,0.0205616737536001
"AZ",2016,7,"0",96608,271205,37560632,2974,8041,177458,-2082,0.0832332726068234,-4767,0.029649158385723,1448882,-812438,39681781,0.0365125244756529
"AZ",2016,7,"1",1196,3626,423419,70,199,3426,-6,0.166387959866221,43,0.0548814120242692,155292,100089,467652,0.33206743475918
"AZ",2016,7,"2",3561,10016,1130388,278,704,9433,-52,0.197697276046054,-133,0.0702875399361022,121217,-86535,1322400,0.0916643980641258
"AZ",2016,7,"3",18041,66964,5803049,769,2647,26507,-107,0.146721356909262,-437,0.0395287019891285,283528,-32836,6087163,0.0465780200070213
"AZ",2016,7,"4",27259,90198,10228079,799,2397,38511,-317,0.087934260244323,-927,0.0265748686223641,393277,-90495,10645775,0.0369420732638065
"AZ",2016,7,"5",25345,59801,10404944,600,1280,60117,-847,0.0505030578023279,-1864,0.0214043243424023,273007,-405676,11129300,0.0245304736146927
"AZ",2016,7,"6",21206,40600,9570750,458,814,39462,-753,0.038385362633217,-1449,0.0200492610837438,222559,-296984,10029488,0.022190464757523
"AR",2016,0,"0",1000512,2232811,58068621,29500,59782,1447772,361,0.0597514072794729,-995,0.0267743216958354,1554963,39357,60956517,0.0255093807279048
"AR",2016,0,"1",121240,238917,2271770,7010,11574,202163,698,0.0954635433850214,814,0.04844360175291,192417,37429,2604970,0.0738653420192939
"AR",2016,0,"2",176424,425726,6651483,8733,18416,389858,631,0.104384890944543,499,0.043257870085454,378348,48227,7341915,0.0515326042320021
